celebrity_name,season,week,twitter_mentions,instagram_engagement,facebook_shares,youtube_views,sentiment_score,google_search_volume
Metta World Peace (Ron),13,1,716,28379,288,348227,-0.281,17.8
Hope Solo,13,1,1166,72611,484,300616,0.119,26.5
Hope Solo,13,2,1260,66486,498,281155,0.413,18.5
Hope Solo,13,3,1350,80976,573,294471,-0.107,22.7
Hope Solo,13,4,1446,107443,604,252125,-0.085,32.3
Hope Solo,13,5,1559,81443,597,652032,0.728,32.7
Hope Solo,13,6,1613,124520,631,411163,0.306,37.8
Hope Solo,13,7,1789,79634,698,1371339,0.57,40.6
Hope Solo,13,8,1908,40033,783,327934,0.379,28.6
Hope Solo,13,9,1975,148756,840,689448,0.559,34.1
Chynna Phillips,13,1,908,27543,336,117561,0.188,40.6
Chynna Phillips,13,2,1001,60624,365,97369,0.721,50.0
Chynna Phillips,13,3,1070,69141,410,127648,0.466,43.0
Chynna Phillips,13,4,1089,25949,455,166615,0.305,46.4
Kristin Cavallari,13,1,788,12712,313,293161,0.247,49.7
Kristin Cavallari,13,2,879,14342,370,2316237,0.622,52.4
Kristin Cavallari,13,3,953,16758,379,47213,0.017,60.0
Carson Kressley,13,1,965,120076,364,256264,-0.108,40.2
Carson Kressley,13,2,1011,147791,377,257766,0.444,42.9
Carson Kressley,13,3,1155,103746,484,222092,0.421,38.0
Carson Kressley,13,4,1219,203833,459,88237,0.016,39.9
Carson Kressley,13,5,1274,211360,533,455251,0.087,40.9
Chaz Bono,13,1,1000,217115,416,714515,0.113,57.7
Chaz Bono,13,2,1114,150281,449,260064,-0.006,88.0
Chaz Bono,13,3,1134,417325,431,1237428,0.134,86.2
Chaz Bono,13,4,1272,328834,473,60211,-0.078,59.6
Chaz Bono,13,5,1359,229358,589,219938,0.498,101.1
Chaz Bono,13,6,1429,654582,532,454873,0.03,107.0
Nancy Grace,13,1,1090,200266,432,94547,-0.11,50.9
Nancy Grace,13,2,1184,147393,494,275322,0.65,56.3
Nancy Grace,13,3,1315,92944,544,916447,0.196,62.9
Nancy Grace,13,4,1418,105081,545,725931,0.015,60.1
Nancy Grace,13,5,1505,176103,562,945374,0.327,65.4
Nancy Grace,13,6,1539,156303,632,107355,0.28,57.7
Nancy Grace,13,7,1681,320700,677,366719,0.355,56.2
Nancy Grace,13,8,1783,139528,684,977843,-0.053,70.1
Rob Kardashian,13,1,1258,25522,529,271006,-0.017,16.9
Rob Kardashian,13,2,1391,41446,564,611779,0.318,26.4
Rob Kardashian,13,3,1430,40125,602,573174,0.299,24.0
Rob Kardashian,13,4,1605,77780,649,1061469,0.359,36.5
Rob Kardashian,13,5,1734,48159,680,2763195,0.528,36.8
Rob Kardashian,13,6,1789,39926,749,495826,0.337,29.4
Rob Kardashian,13,7,2007,29711,782,663377,0.466,30.5
Rob Kardashian,13,8,2078,99769,879,186385,0.187,27.2
Rob Kardashian,13,9,2205,73664,921,97323,0.706,32.2
Rob Kardashian,13,10,2336,99870,907,2420017,0.534,44.3
William Levy,14,1,1187,2121,516,319194,0.257,31.6
William Levy,14,2,1294,1208,500,919835,0.534,31.2
William Levy,14,3,1472,1474,577,650367,0.568,56.2
William Levy,14,4,1508,927,650,334713,0.451,44.1
William Levy,14,5,1543,3487,632,452015,0.764,44.3
William Levy,14,6,1771,1804,707,520408,1.0,63.9
William Levy,14,7,1966,2160,733,1098451,0.601,57.7
William Levy,14,8,1985,3044,818,1526297,0.298,56.5
William Levy,14,9,2096,2583,855,4574918,0.582,79.2
William Levy,14,10,2196,1944,846,1055021,1.0,61.5
Jack Wagner,14,1,791,85392,303,496077,0.342,18.1
Jack Wagner,14,2,846,106662,365,235484,-0.064,20.6
Jack Wagner,14,3,912,40501,355,396650,0.365,35.9
Sherri Sheperd,14,1,824,27430,327,1794360,0.33,88.3
Sherri Sheperd,14,2,877,53483,343,1340832,0.22,86.2
Sherri Sheperd,14,3,964,67046,384,221413,0.547,98.4
Sherri Sheperd,14,4,1107,70825,437,3378845,0.334,113.0
Jaleel White,14,1,1026,3326,370,281611,0.427,4.2
Jaleel White,14,2,1021,2250,391,573740,0.295,5.1
Jaleel White,14,3,1216,3422,430,420227,0.251,3.8
Jaleel White,14,4,1288,5577,533,382527,0.308,5.1
Jaleel White,14,5,1371,8006,533,653252,0.552,3.7
Jaleel White,14,6,1444,7827,564,335898,0.657,4.6
Jaleel White,14,7,1571,9502,600,937745,0.318,6.5
Roshon Fegan,14,1,1019,26524,420,734935,0.275,27.9
Roshon Fegan,14,2,1194,18567,455,613119,0.472,24.1
Roshon Fegan,14,3,1230,45802,461,147510,0.672,42.3
Roshon Fegan,14,4,1337,36884,528,409861,0.421,30.1
Roshon Fegan,14,5,1429,40554,562,424036,0.692,51.2
Roshon Fegan,14,6,1513,17621,619,879726,0.187,40.9
Roshon Fegan,14,7,1622,58043,687,259022,0.353,49.8
Roshon Fegan,14,8,1687,51891,695,3424912,0.585,34.6
Melissa Gilbert,14,1,1113,522297,458,981475,-0.024,33.6
Melissa Gilbert,14,2,1303,425896,475,159533,0.271,46.1
Melissa Gilbert,14,3,1345,365422,521,302671,0.422,31.7
Melissa Gilbert,14,4,1425,626468,564,419823,0.429,54.3
Melissa Gilbert,14,5,1500,407475,577,61737,0.015,56.2
Melissa Gilbert,14,6,1622,459219,634,324158,0.942,63.8
Melissa Gilbert,14,7,1773,377834,686,179781,0.032,65.9
Melissa Gilbert,14,8,1877,863381,691,158700,0.446,66.1
Martina Navratilova,14,1,698,31596,284,157687,0.221,26.7
Martina Navratilova,14,2,765,34618,332,82058,-0.069,51.5
Donald Driver,14,1,1320,1421,537,1425978,-0.046,68.8
Donald Driver,14,2,1417,1453,570,226579,0.238,71.2
Donald Driver,14,3,1552,1291,631,647503,0.473,64.6
Donald Driver,14,4,1641,2513,723,2053729,0.627,104.5
Donald Driver,14,5,1818,1755,708,1449998,0.647,102.2
Donald Driver,14,6,1900,1914,731,637200,0.877,122.6
Donald Driver,14,7,1946,2003,849,1263776,0.374,93.0
Donald Driver,14,8,2181,2377,802,425527,0.797,101.4
Donald Driver,14,9,2202,1600,910,1413233,1.0,113.6
Donald Driver,14,10,2464,1291,976,1994615,0.281,94.8
Gavin DeGraw,14,1,873,102133,416,318301,0.316,65.5
Gavin DeGraw,14,2,954,170473,413,306961,-0.045,75.3
Gavin DeGraw,14,3,1023,158610,434,517269,0.342,70.1
Gavin DeGraw,14,4,1143,164545,432,437246,0.685,78.6
Gavin DeGraw,14,5,1176,136583,486,942078,0.284,64.7
Gladys Knight,14,1,917,45599,386,65503,0.007,18.3
Gladys Knight,14,2,983,20620,448,1012770,0.101,18.6
Gladys Knight,14,3,1122,30332,453,257949,0.428,28.5
Gladys Knight,14,4,1160,45959,452,188344,-0.04,28.5
Gladys Knight,14,5,1252,69434,486,186767,-0.082,30.1
Gladys Knight,14,6,1346,24021,539,587753,0.378,31.5
Katherine Jenkins,14,1,1155,14258,494,62185,0.283,52.8
Katherine Jenkins,14,2,1357,13567,567,99441,0.356,68.8
Katherine Jenkins,14,3,1505,12682,564,3758750,0.365,80.6
Katherine Jenkins,14,4,1663,20281,689,894382,0.451,89.7
Katherine Jenkins,14,5,1731,20618,704,131512,0.767,74.2
Katherine Jenkins,14,6,1829,27532,727,2889100,0.9,102.5
Katherine Jenkins,14,7,1974,40088,722,218703,0.407,135.9
Katherine Jenkins,14,8,2169,31167,831,1472055,0.667,112.9
Katherine Jenkins,14,9,2257,28983,856,446893,0.578,153.2
Katherine Jenkins,14,10,2333,13576,920,5532823,0.703,148.8
Maria Menounos,14,1,1143,15935,447,98802,-0.062,57.5
Maria Menounos,14,2,1276,34520,455,1772679,0.663,61.7
Maria Menounos,14,3,1355,38606,610,3881227,0.7,74.6
Maria Menounos,14,4,1434,27770,590,525464,0.323,55.5
Maria Menounos,14,5,1534,16753,687,375063,0.736,82.3
Maria Menounos,14,6,1678,38539,690,273210,0.511,75.0
Maria Menounos,14,7,1784,36174,715,467168,0.418,89.6
Maria Menounos,14,8,1909,61933,755,239008,0.386,70.9
Maria Menounos,14,9,1856,40425,856,10688384,0.678,58.5
Gilles Marini,15,1,1016,286157,393,98668,0.491,42.7
Gilles Marini,15,2,1152,301789,446,709455,0.702,56.0
Gilles Marini,15,3,1247,112596,487,196579,0.463,78.6
Gilles Marini,15,4,1305,211054,537,2678044,0.571,60.9
Gilles Marini,15,5,1458,400287,581,3697890,0.484,54.7
Gilles Marini,15,6,1566,184445,613,533516,0.567,77.5
Gilles Marini,15,7,1644,336029,692,245299,0.538,80.3
Gilles Marini,15,8,1687,410621,705,6468806,0.779,64.2
Sabrina Bryan,15,1,912,181331,407,1060912,0.334,22.3
Sabrina Bryan,15,2,1021,186328,440,1128110,0.457,18.1
Sabrina Bryan,15,3,1136,205124,449,2603525,0.362,27.8
Sabrina Bryan,15,4,1183,165001,476,1571678,0.491,22.9
Sabrina Bryan,15,5,1278,226641,514,555327,0.725,33.7
Sabrina Bryan,15,6,1365,217072,581,172478,0.286,30.4
Kirstie Alley,15,1,933,78986,401,817965,0.216,69.5
Kirstie Alley,15,2,1088,135611,445,385821,0.424,66.6
Kirstie Alley,15,3,1207,137142,517,468063,0.263,71.6
Kirstie Alley,15,4,1316,111532,459,244418,0.412,70.4
Kirstie Alley,15,5,1316,109880,500,3955966,0.69,52.9
Kirstie Alley,15,6,1448,146539,545,380104,0.516,96.2
Kirstie Alley,15,7,1592,170789,630,1370900,0.638,92.4
Kirstie Alley,15,8,1600,192145,631,172651,0.239,85.3
Kelly Monaco,15,1,1198,112444,471,1346408,0.501,52.1
Kelly Monaco,15,2,1322,45440,524,441907,-0.057,54.4
Kelly Monaco,15,3,1458,101160,567,93782,0.558,41.4
Kelly Monaco,15,4,1552,42569,643,293130,0.565,48.8
Kelly Monaco,15,5,1729,82769,630,2120080,0.213,73.3
Kelly Monaco,15,6,1743,175604,717,30222,0.339,54.7
Kelly Monaco,15,7,1890,161829,767,508884,0.821,76.3
Kelly Monaco,15,8,1996,79787,719,129609,0.474,58.5
Kelly Monaco,15,9,2151,180009,834,973543,0.461,54.0
Kelly Monaco,15,10,2219,233880,878,892883,0.531,95.2
Apolo Anton Ohno,15,1,1110,102689,450,511336,0.669,27.1
Apolo Anton Ohno,15,2,1226,65562,501,111859,0.526,43.8
Apolo Anton Ohno,15,3,1245,127145,510,267134,0.577,26.7
Apolo Anton Ohno,15,4,1377,148966,630,5790480,0.133,30.9
Apolo Anton Ohno,15,5,1486,113431,611,637919,0.468,48.8
Apolo Anton Ohno,15,6,1657,170793,672,981475,0.565,53.1
Apolo Anton Ohno,15,7,1775,139385,644,727644,0.613,57.0
Apolo Anton Ohno,15,8,1773,125602,705,1044204,0.788,47.2
Apolo Anton Ohno,15,9,1902,111093,792,827640,1.0,56.5
Emmitt Smith,15,1,1125,2843,466,397006,0.552,47.8
Emmitt Smith,15,2,1267,3985,466,478976,0.361,49.7
Emmitt Smith,15,3,1333,9871,550,296490,0.594,74.9
Emmitt Smith,15,4,1483,7822,568,1915712,0.334,97.9
Emmitt Smith,15,5,1570,4047,669,990783,0.645,71.3
Emmitt Smith,15,6,1683,4184,657,570198,0.475,74.6
Emmitt Smith,15,7,1764,12244,746,311033,0.736,109.4
Emmitt Smith,15,8,1920,11840,786,210724,0.946,125.0
Emmitt Smith,15,9,2015,4896,780,263722,0.335,107.7
Shawn Johnson,15,1,1226,14995,511,170779,-0.063,85.8
Shawn Johnson,15,2,1411,18995,606,1164020,0.526,89.4
Shawn Johnson,15,3,1506,25629,610,258544,0.199,67.0
Shawn Johnson,15,4,1611,31053,652,1393482,0.487,98.4
Shawn Johnson,15,5,1749,22055,700,567877,0.536,126.8
Shawn Johnson,15,6,1887,20292,714,341403,0.852,93.1
Shawn Johnson,15,7,1990,37087,793,229436,0.777,92.1
Shawn Johnson,15,8,2058,10028,800,273332,0.779,115.1
Shawn Johnson,15,9,2129,13827,877,980900,0.86,141.8
Shawn Johnson,15,10,2289,14388,922,4040960,0.513,157.9
Pamela Anderson,15,1,680,263,236,81570,0.018,62.5
Helio Castroneves,15,1,834,7337,332,393299,0.276,31.7
Helio Castroneves,15,2,906,18884,330,1282493,0.464,51.5
Helio Castroneves,15,3,1001,13080,384,46129,0.493,40.1
Joey Fatone,15,1,715,23823,301,53719,0.598,18.3
Joey Fatone,15,2,785,26995,326,1045173,0.175,20.7
Drew Lachey,15,1,812,32057,311,190752,-0.286,48.8
Drew Lachey,15,2,842,32478,331,160349,0.369,36.3
Drew Lachey,15,3,899,43904,382,3143122,0.367,39.7
Bristol Palin,15,1,899,61193,371,335633,0.379,18.5
Bristol Palin,15,2,1001,80001,399,153963,0.135,14.2
Bristol Palin,15,3,1075,46604,435,635106,-0.026,21.7
Bristol Palin,15,4,1149,84133,462,850697,0.406,20.7
Melissa Rycroft,15,1,1308,46046,550,1020432,0.101,45.5
Melissa Rycroft,15,2,1467,26705,613,207583,0.212,40.6
Melissa Rycroft,15,3,1588,64703,605,243450,0.868,70.0
Melissa Rycroft,15,4,1696,68980,689,338472,0.367,62.9
Melissa Rycroft,15,5,1772,75520,731,600642,0.527,58.6
Melissa Rycroft,15,6,1939,37999,754,198768,0.76,91.7
Melissa Rycroft,15,7,2022,97640,793,304276,1.0,81.8
Melissa Rycroft,15,8,2140,76069,862,1518937,0.439,105.8
Melissa Rycroft,15,9,2345,62278,924,1577539,0.696,100.9
Melissa Rycroft,15,10,2370,39241,957,286366,0.484,80.3
Ingo Rademacher,16,1,1041,3859,434,705580,0.241,16.9
Ingo Rademacher,16,2,1187,2344,465,31296,0.101,24.4
Ingo Rademacher,16,3,1294,4583,533,279091,0.131,18.9
Ingo Rademacher,16,4,1354,3722,555,525992,0.079,20.2
Ingo Rademacher,16,5,1479,7798,592,172661,0.174,23.9
Ingo Rademacher,16,6,1614,5186,648,1824697,0.2,27.3
Ingo Rademacher,16,7,1697,4667,717,730719,0.184,40.2
Ingo Rademacher,16,8,1825,8782,704,1914568,0.378,43.4
Ingo Rademacher,16,9,1981,9687,701,38644,0.834,38.6
Zendaya,16,1,1263,8662,491,494753,0.218,54.8
Zendaya,16,2,1381,8333,580,218703,0.406,55.3
Zendaya,16,3,1514,19134,601,7208432,0.25,61.7
Zendaya,16,4,1600,9960,648,4877774,0.467,58.7
Zendaya,16,5,1721,26017,729,758366,0.113,78.7
Zendaya,16,6,1847,17323,753,1911523,0.416,73.8
Zendaya,16,7,1944,16953,761,1016578,0.43,97.6
Zendaya,16,8,2089,21904,781,3538210,0.77,100.3
Zendaya,16,9,2226,32863,831,717577,0.851,78.4
Zendaya,16,10,2229,17958,898,99468,0.773,97.4
Dorothy Hamill,16,1,696,6691,267,96633,0.355,19.3
Dorothy Hamill,16,2,811,8570,320,171867,0.001,25.7
Victor Ortiz,16,1,880,200900,371,1109178,-0.02,75.9
Victor Ortiz,16,2,1040,219616,412,574058,0.146,116.8
Victor Ortiz,16,3,1103,307642,445,518238,0.431,97.3
Victor Ortiz,16,4,1186,267214,473,369925,-0.141,125.6
Victor Ortiz,16,5,1251,246117,477,168486,0.5,146.3
Victor Ortiz,16,6,1338,348807,570,326660,0.229,150.6
Alexandra Raisman,16,1,1097,1002,459,382760,0.023,4.2
Alexandra Raisman,16,2,1261,466,518,490200,0.165,4.7
Alexandra Raisman,16,3,1385,1379,531,932110,0.517,3.8
Alexandra Raisman,16,4,1480,758,617,227560,0.667,4.6
Alexandra Raisman,16,5,1637,657,637,896171,0.634,7.0
Alexandra Raisman,16,6,1716,1263,694,1030981,0.521,6.2
Alexandra Raisman,16,7,1758,1270,700,1337021,0.725,5.7
Alexandra Raisman,16,8,1846,2139,807,703172,0.291,7.3
Alexandra Raisman,16,9,1992,1078,796,4063661,0.442,7.0
Alexandra Raisman,16,10,2078,1645,874,377363,0.485,7.0
Jacoby Jones,16,1,1235,32728,479,1319663,0.017,91.9
Jacoby Jones,16,2,1270,38300,551,132028,0.388,83.1
Jacoby Jones,16,3,1419,44373,598,1034365,0.544,71.5
Jacoby Jones,16,4,1523,18868,621,274033,0.293,118.2
Jacoby Jones,16,5,1618,60531,658,850810,0.49,83.4
Jacoby Jones,16,6,1754,34176,760,135718,0.259,140.9
Jacoby Jones,16,7,1842,67544,717,1215018,0.182,102.4
Jacoby Jones,16,8,1976,69718,768,1357363,0.217,134.8
Jacoby Jones,16,9,2026,34309,805,202831,0.719,120.0
Jacoby Jones,16,10,2190,25360,874,1466014,0.605,109.7
D. L. Hughley,16,1,878,4740,373,118954,-0.136,10.7
D. L. Hughley,16,2,964,5553,387,185998,-0.127,7.1
D. L. Hughley,16,3,1070,3373,404,199301,0.018,12.4
D. L. Hughley,16,4,1198,9323,453,341949,-0.104,10.0
D. L. Hughley,16,5,1178,7643,490,54974,0.192,11.4
Andy Dick,16,1,1018,88143,407,116467,0.153,42.5
Andy Dick,16,2,1031,118874,425,781071,0.153,29.6
Andy Dick,16,3,1167,110323,463,107487,0.092,32.0
Andy Dick,16,4,1271,71741,483,222680,0.403,60.1
Andy Dick,16,5,1356,122550,560,387771,0.012,63.5
Andy Dick,16,6,1470,168843,545,875070,0.489,54.6
Andy Dick,16,7,1546,188487,617,224348,-0.252,61.9
Wynonna Judd,16,1,764,27359,309,591947,0.061,45.5
Wynonna Judd,16,2,825,11180,384,266453,0.082,39.2
Wynonna Judd,16,3,913,34740,358,168463,0.037,53.1
Kellie Pickler,16,1,1324,16017,504,359214,0.522,29.8
Kellie Pickler,16,2,1465,21458,575,741351,0.594,29.6
Kellie Pickler,16,3,1536,7626,627,1953224,0.526,51.0
Kellie Pickler,16,4,1703,22866,665,1048300,0.515,41.6
Kellie Pickler,16,5,1780,22818,692,264487,0.614,63.6
Kellie Pickler,16,6,1923,17701,713,1581106,0.281,70.6
Kellie Pickler,16,7,2065,22301,840,711094,0.931,63.1
Kellie Pickler,16,8,2188,34320,931,2012395,0.678,68.2
Kellie Pickler,16,9,2286,24795,851,1809864,0.649,51.1
Kellie Pickler,16,10,2341,38589,979,1651007,0.664,65.9
Lisa Vanderpump,16,1,818,159663,356,125019,0.249,35.0
Lisa Vanderpump,16,2,913,487879,398,410281,0.337,32.1
Lisa Vanderpump,16,3,909,300349,388,36230,0.049,31.6
Lisa Vanderpump,16,4,1038,637797,424,661099,-0.293,41.2
Sean Lowe,16,1,1023,35398,423,302348,0.07,12.8
Sean Lowe,16,2,1092,70780,432,71537,0.226,9.8
Sean Lowe,16,3,1227,107962,517,80727,0.499,11.3
Sean Lowe,16,4,1327,91079,527,43451,0.216,17.4
Sean Lowe,16,5,1475,66087,605,1403687,0.174,14.3
Sean Lowe,16,6,1435,132534,595,1715822,0.49,21.5
Sean Lowe,16,7,1607,87078,641,1034557,0.582,21.0
Sean Lowe,16,8,1751,143548,679,141591,0.304,17.0
Valerie Harper,17,1,841,45815,299,213569,0.325,56.3
Valerie Harper,17,2,914,118153,332,149365,-0.024,50.7
Valerie Harper,17,3,915,52618,423,103360,0.179,60.5
Valerie Harper,17,4,1057,125498,436,900146,0.095,83.2
Brant Daugherty,17,1,913,102857,409,160768,0.463,54.8
Brant Daugherty,17,2,1009,126676,421,138024,0.606,81.7
Brant Daugherty,17,3,1207,67882,467,766355,0.615,66.9
Brant Daugherty,17,4,1225,155380,492,153073,0.453,68.8
Brant Daugherty,17,5,1306,143483,530,330262,0.37,101.4
Brant Daugherty,17,6,1382,74906,554,570792,0.54,96.4
Brant Daugherty,17,7,1572,83951,598,227365,0.207,92.1
Brant Daugherty,17,8,1551,163972,671,217134,0.486,120.6
Elizabeth Berkley Lauren,17,1,1008,120144,436,139307,0.447,6.9
Elizabeth Berkley Lauren,17,2,1219,57336,454,203313,0.414,10.7
Elizabeth Berkley Lauren,17,3,1273,185168,491,1401157,0.371,9.8
Elizabeth Berkley Lauren,17,4,1286,154027,509,346332,0.686,10.6
Elizabeth Berkley Lauren,17,5,1425,138321,555,419110,0.668,8.5
Elizabeth Berkley Lauren,17,6,1595,70632,580,1379004,0.821,9.3
Elizabeth Berkley Lauren,17,7,1585,179679,619,1547274,0.618,11.7
Elizabeth Berkley Lauren,17,8,1694,147431,660,5115580,0.573,12.2
Elizabeth Berkley Lauren,17,9,1847,180795,754,236222,0.337,16.2
Leah Remini,17,1,1035,183171,440,85047,0.506,16.2
Leah Remini,17,2,1182,533055,468,604331,0.561,26.3
Leah Remini,17,3,1314,244724,526,255919,0.394,20.9
Leah Remini,17,4,1387,418419,577,167087,0.338,28.9
Leah Remini,17,5,1486,606368,605,264664,0.305,21.2
Leah Remini,17,6,1655,378620,649,481808,0.543,37.4
Leah Remini,17,7,1708,551245,694,2523119,0.134,30.5
Leah Remini,17,8,1785,798988,740,1271971,0.692,24.5
Leah Remini,17,9,1884,520347,784,1388232,0.288,28.9
Leah Remini,17,10,1978,366208,796,4498484,0.514,28.5
Corbin Bleu,17,1,1311,805,517,138671,0.36,24.0
Corbin Bleu,17,2,1392,1112,575,341925,0.272,18.6
Corbin Bleu,17,3,1497,1310,593,2557658,0.822,20.5
Corbin Bleu,17,4,1622,1339,663,137406,0.448,22.7
Corbin Bleu,17,5,1760,2388,659,721985,0.959,34.1
Corbin Bleu,17,6,1784,2126,726,3348476,0.225,34.3
Corbin Bleu,17,7,1961,938,775,1607870,0.562,39.0
Corbin Bleu,17,8,2117,2477,819,383378,0.559,29.7
Corbin Bleu,17,9,2180,1609,919,774297,0.284,38.6
Corbin Bleu,17,10,2183,2067,905,216178,0.533,45.6
Corbin Bleu,17,11,2385,3062,976,524403,0.981,37.2
Amber Riley,17,1,1364,52890,555,44831,0.448,18.6
Amber Riley,17,2,1386,48190,622,202820,0.423,14.4
Amber Riley,17,3,1511,55700,644,153907,0.365,15.1
Amber Riley,17,4,1628,27338,688,181093,0.455,16.1
Amber Riley,17,5,1777,26532,749,1059483,0.27,21.5
Amber Riley,17,6,1953,31076,745,1216510,0.844,26.2
Amber Riley,17,7,1947,69443,797,260292,0.602,24.0
Amber Riley,17,8,2136,83133,866,1119518,0.26,22.0
Amber Riley,17,9,2321,62231,962,1241530,0.153,26.6
Amber Riley,17,10,2391,102304,982,1183236,0.63,22.9
Amber Riley,17,11,2557,52179,1013,3003112,0.638,32.8
Keyshawn Johnson,17,1,747,13038,280,44895,0.067,42.3
Keyshawn Johnson,17,2,746,11588,327,741827,0.198,53.2
Bill Engvall,17,1,1165,11986,507,131151,0.136,27.0
Bill Engvall,17,2,1255,13691,504,471803,0.308,33.9
Bill Engvall,17,3,1326,25673,509,610891,0.249,24.3
Bill Engvall,17,4,1466,25685,603,25534,0.495,31.4
Bill Engvall,17,5,1624,18454,649,327211,0.541,40.3
Bill Engvall,17,6,1581,22470,669,738665,0.721,27.0
Bill Engvall,17,7,1753,44442,740,511416,0.363,40.8
Bill Engvall,17,8,1941,35478,806,547916,0.556,37.2
Bill Engvall,17,9,2070,33001,784,222943,0.152,52.6
Bill Engvall,17,10,1997,26082,803,346987,0.161,41.3
Bill Engvall,17,11,2217,15297,858,1548224,0.353,59.0
Christina Milian,17,1,891,145823,374,574807,0.439,32.5
Christina Milian,17,2,943,83098,401,279756,0.663,27.6
Christina Milian,17,3,991,203268,425,2448726,0.162,43.0
Christina Milian,17,4,1073,184024,478,368484,0.445,47.6
Christina Milian,17,5,1193,112825,464,610250,0.754,54.3
"Nicole ""Snooki"" Polizzi",17,1,912,58440,342,220789,0.233,24.9
"Nicole ""Snooki"" Polizzi",17,2,1096,60005,438,1485622,0.372,42.9
"Nicole ""Snooki"" Polizzi",17,3,1150,102316,444,402467,0.606,48.3
"Nicole ""Snooki"" Polizzi",17,4,1101,115393,480,544141,0.451,45.0
"Nicole ""Snooki"" Polizzi",17,5,1404,45578,507,241630,0.57,57.6
"Nicole ""Snooki"" Polizzi",17,6,1340,62594,549,696452,0.471,38.6
"Nicole ""Snooki"" Polizzi",17,7,1414,46661,574,1752198,0.278,38.0
Jack Osbourne,17,1,1259,516638,447,2268452,0.073,42.9
Jack Osbourne,17,2,1360,878851,492,360026,-0.285,53.5
Jack Osbourne,17,3,1408,1362908,577,51914,0.21,56.2
Jack Osbourne,17,4,1608,521014,612,539055,0.664,51.6
Jack Osbourne,17,5,1646,2142827,671,58527,0.454,77.6
Jack Osbourne,17,6,1755,1741706,641,2096314,0.322,69.3
Jack Osbourne,17,7,1859,1517185,765,1350087,0.728,92.1
Jack Osbourne,17,8,2003,1434854,850,1186454,0.928,78.3
Jack Osbourne,17,9,2236,2502776,852,581760,0.658,98.4
Jack Osbourne,17,10,2185,2078662,843,496941,0.209,69.5
Jack Osbourne,17,11,2315,1878523,900,289664,0.794,112.5
Bill Nye,17,1,782,17184,326,1112454,-0.273,22.1
Bill Nye,17,2,876,23431,308,895956,0.098,16.2
Bill Nye,17,3,884,23945,382,331130,0.004,23.1
Billy Dee Williams,18,1,844,32861,308,120947,0.289,24.6
Billy Dee Williams,18,2,893,33471,388,242117,0.107,40.1
Danica McKellar,18,1,1015,20252,421,98885,0.122,46.7
Danica McKellar,18,2,1161,60072,445,2030938,1.0,42.3
Danica McKellar,18,3,1202,38371,482,391905,0.618,76.5
Danica McKellar,18,4,1349,25114,571,234304,0.346,51.3
Danica McKellar,18,5,1353,44377,537,64428,0.436,66.5
Danica McKellar,18,6,1512,80849,572,505478,0.716,84.0
Danica McKellar,18,7,1579,85000,656,612945,0.522,88.6
Danica McKellar,18,8,1658,65179,665,231489,0.588,89.1
James Maslow,18,1,1215,747,452,150010,-0.028,14.8
James Maslow,18,2,1260,764,496,70904,0.344,18.2
James Maslow,18,3,1371,461,552,618283,0.473,21.5
James Maslow,18,4,1439,727,597,111180,0.603,19.2
James Maslow,18,5,1640,1427,646,180942,0.633,22.9
James Maslow,18,6,1654,591,718,301580,0.516,25.9
James Maslow,18,7,1892,781,688,1132963,0.2,31.2
James Maslow,18,8,1897,1491,780,321702,0.445,40.0
James Maslow,18,9,2027,790,794,963343,0.083,26.1
James Maslow,18,10,2129,1696,820,1286110,0.672,39.4
Candace Cameron Bure,18,1,1175,839903,469,632952,0.006,15.1
Candace Cameron Bure,18,2,1366,667659,580,913549,0.5,17.4
Candace Cameron Bure,18,3,1431,1143337,562,305151,0.262,28.9
Candace Cameron Bure,18,4,1516,854696,616,225739,0.509,19.4
Candace Cameron Bure,18,5,1630,1160342,659,661118,0.547,18.2
Candace Cameron Bure,18,6,1764,1550897,713,105790,0.186,26.8
Candace Cameron Bure,18,7,1818,1477787,675,472580,0.314,37.9
Candace Cameron Bure,18,8,1932,1640180,831,1379989,0.727,35.9
Candace Cameron Bure,18,9,1978,1012217,832,380435,0.495,30.7
Candace Cameron Bure,18,10,2189,1361326,892,1351828,0.694,28.8
Sean Avery,18,1,807,177074,287,42054,0.368,58.5
Sean Avery,18,2,863,239035,322,41860,0.343,41.9
Diana Nyad,18,1,755,214262,288,75578,-0.188,23.8
Charlie White,18,1,1098,38797,485,162406,0.497,42.5
Charlie White,18,2,1143,53674,514,394626,0.498,57.8
Charlie White,18,3,1308,74180,530,230567,0.593,63.0
Charlie White,18,4,1364,68470,522,1507913,0.314,75.2
Charlie White,18,5,1528,47626,560,769349,0.649,74.6
Charlie White,18,6,1581,99981,590,474083,0.472,81.5
Charlie White,18,7,1680,85628,682,105666,0.591,86.2
Charlie White,18,8,1811,107560,723,507180,0.801,80.3
Charlie White,18,9,1889,112939,785,2384375,0.63,98.2
Amy Purdy,18,1,1249,3053,506,1063041,0.505,67.5
Amy Purdy,18,2,1335,2648,541,455840,0.226,78.7
Amy Purdy,18,3,1499,2107,636,817590,0.524,94.9
Amy Purdy,18,4,1664,3039,641,67146,0.242,110.1
Amy Purdy,18,5,1808,2601,686,413199,0.808,76.2
Amy Purdy,18,6,1867,3558,742,296329,0.392,109.3
Amy Purdy,18,7,2036,2344,762,235199,0.934,113.3
